grant_id,title,year,first_author
BB/G022917/1,Thresholds of polarization vision in octopuses.,2021,Temple SE
NE/V002554/2,The Roles of the Magnetopause and Plasmapause in Storm-Time ULF Wave Power Enhancements,2021,Sandhu J
NE/C004566/1,Structural Fe(II) Oxidation in Biotite by an Ectomycorrhizal Fungi Drives Mechanical Forcing.,2016,Bonneville S
NE/P003079/1,Threat management priorities for conserving Antarctic biodiversity.,2022,Lee JR
EP/P033148/1,Experimental Measurement of Large-Amplitude Intermittent Vibrations of an Inclined Bendable Riser Transporting Unsteady Multiphase Flows,2021,Ma B
EP/K024566/1,A new discrete monotonicity formula with application to a two-phase free boundary problem in dimension two,2019,Dipierro S
EP/T01346X/1,Beyond blur real-time ventral metamers for foveated rendering,2021,Walton D
EP/R022518/1,Synthesis and characterisation of Ga- and In-doped CdS by solventless thermolysis of single source precursors.,2023,Alderhami SA
ST/R000395/1,Revisiting the common envelope evolution in binary stars: A new semianalytic model for N -body and population synthesis codes,2022,Trani A
MR/M025233/1,Generation of a chemical genetic model for JAK3.,2021,Remenyi J
ST/W000997/1,Probing the eccentricity in protostellar discs: Modelling kinematics and morphologies,2024,Ragusa E
ST/R00689X/1,High-energy collision of black holes in higher dimensions,2019,Sperhake U
EP/S005226/1,The Impact of Metagenomics on Biocatalysis.,2024,Hogg BN
EP/T000481/1,A New Architecture for DNA-Templated Synthesis in Which Abasic Sites Protect Reactants from Degradation.,2024,Frommer J
MR/M011747/1,Contribution of Segment 3 to the Acquisition of Virulence in Contemporary H9N2 Avian Influenza Viruses.,2020,Clements AL
ES/S007393/1,Deriving household composition using population-scale electronic health record data-A reproducible methodology.,2021,Johnson RD
NE/H020772/1,Structural properties of mobile armors formed at different flow strengths in gravel-bed rivers,2016,Powell D
AH/M008266/1,Mediating worlds: the role of nurses as ritual specialists in caring for the dead and dying,2023,Büster L
EP/V000969/1,RIN induced penalties in G.654.E and G.652.D based distributed Raman amplifiers for coherent transmission systems.,2021,Hazarika P
ES/M009998/1,Examining incidental word learning during reading in children: The role of context.,2018,Joseph H
EP/R007438/1,Effective mean free path and viscosity of confined gases,2019,Xie J
BB/N002113/1,Mechanisms underlying TARP modulation of the GluA1/2-?8 AMPA receptor.,2022,Herguedas B
EP/K030760/1,Copper-mediated reduction of azides under seemingly oxidising conditions: catalytic and computational studies,2018,Zelenay B
EP/I034548/1,Wide-angle optical half-wave plate from the field transformation approach and form-birefringence theory.,2018,Shi H
EP/K000810/1,Reliable Power Gating With NBTI Aging Benefits,2016,Rossi D
EP/P015794/1,Low-density phase diagram of the three-dimensional electron gas,2022,Azadi S
EP/T001569/1,Towards automated analysis for neutron reflectivity,2021,Mironov D
MR/L010399/1,Motor development in infancy and spine shape in early old age: Findings from a British birth cohort study.,2020,Saunders FR
NE/H020454/1,On the dynamical influence of ocean eddy potential vorticity fluxes,2015,Maddison J
BB/M007847/1,"Stimulus uncertainty affects perception in human echolocation: Timing, level, and spectrum.",2020,Norman LJ
ST/L005824/1,Advances in radiative capture studies at LUNA with a segmented BGO detector,2023,Skowronski J
EP/V049461/1,Measuring signatures in photon angular spectra to distinguish nonlinear Compton scattering models,2024,Russell B
ST/R000476/1,A test of the planet-star unipolar inductor for magnetic white dwarfs,2021,Walters N
EP/K00249X/1,Measuring the potential of zonal space heating controls to reduce energy use in UK homes: The case of un-furbished 1930s dwellings,2015,Beizaee A
BB/K009753/1,Exploring Step-by-Step Assembly of Nanoparticle:Cytochrome Biohybrid Photoanodes.,2017,Hwang ET
EP/R013012/1,Gas-phase structures reflect the pain-relief potency of enkephalin peptides,2019,Pereverzev A
NE/J021741/1,Magmatism versus serpentinization-crustal structure along the 13&deg;N segment at the Mid-Atlantic Ridge,2020,Peirce C
EP/K01739X/1,Role of long-range exact exchange in polaron charge transition levels: The case of MgO,2020,Wing D
MR/M015386/1,Informal task-sharing practices in inpatient newborn settings in a low-income setting-A task analysis approach.,2020,Omondi GB
ST/H008519/1,The SAMI Galaxy Survey: understanding observations of large-scale outflows at low redshift with EAGLE simulations,2018,Tescari E
EP/N009533/1,Linker-controlled polymeric photocatalyst for highly efficient hydrogen evolution from water,2017,Wang Y
EP/T012250/1,Development and testing of an additively manufactured lattice for DEMO limiters,2022,Mantel N
EP/K015338/1,Lidar Waveform-Based Analysis of Depth Images Constructed Using Sparse Single-Photon Data.,2016,Altmann Y
ST/T000406/1,Search for Gravitational Waves from Scorpius X-1 in LIGO O3 Data with Corrected Orbital Ephemeris,2023,Whelan J
EP/R001766/1,In situ evaluation of contact stiffness in a slip interface with different roughness conditions using ultrasound reflectometry.,2021,Fukagai S
EP/S020470/1,Integrated Population Models: Achieving Their Potential,2022,Frost F
BB/S003681/1,The limits of metabolic heredity in protocells.,2022,Nunes Palmeira R
MR/K006924/1,Reducing antibiotic treatment duration for ventilator-associated pneumonia (REGARD-VAP): a trial protocol for a randomised clinical trial.,2021,Mo Y
EP/N007743/1,IPST: Incremental Pictorial Structures for Model-free Tracking of Deformable Objects.,2018,Chrysos GG
ST/P000258/1,Targeted search for the kinematic dipole of the gravitational-wave background,2022,Chung A
MR/N501852/1,Disruption of the Pseudomonas aeruginosa Tat system perturbs PQS-dependent quorum sensing and biofilm maturation through lack of the Rieske cytochrome bc1 sub-unit.,2021,Soh EY
BB/P02789X/1,Strategies to control therapeutic antibody glycosylation during bioprocessing: Synthesis and separation.,2022,Edwards E
BB/R008655/1,Optimised oligonucleotide substrates to assay XPF-ERCC1 nuclease activity for the discovery of DNA repair inhibitors.,2019,Thomas AM
EP/H018921/1,"The influence of deformation, annealing and recrystallisation on oxide nanofeatures in oxide dispersion strengthened steel",2017,Dawson K
ST/K00042X/1,Constraining quenching time-scales in galaxy clusters by forward-modelling stellar ages and quiescent fractions in projected phase space,2023,Reeves A
BB/J006467/1,Plasma free fatty acid levels influence Zn(2+) -dependent histidine-rich glycoprotein-heparin interactions via an allosteric switch on serum albumin.,2015,Kassaar O
ST/T000244/1,The Chameleon on the branches: spectral state transition and dips in NGC 247 ULX-1,2021,D'Aì A
ES/L011840/1,A Deep Learning Approach to Infer Employment Status of Passengers by Using Smart Card Data,2020,Zhang Y
MR/T016035/1,Dynamical responses predict a distal site that modulates activity in an antibiotic resistance enzyme.,2024,Beer M
ES/N015754/1,Challenging Becomings: Gender Dynamics in the Syrian Medical-Humanitarian Response,2024,Roborgh S
BB/K008226/1,Patterns of microchromosome organization remain highly conserved throughout avian evolution.,2019,O'Connor RE
EP/M010708/1,Phase reconstruction using fast binary 4D STEM data,2020,O'Leary C
EP/R023034/1,High-Performance Nanostructured MoS 2 Electrodes with Spontaneous Ultralow Gold Loading for Hydrogen Evolution,2021,Higgins E
BBS/E/I/00007039,A random priming amplification method for whole genome sequencing of SARS-CoV-2 virus.,2022,Chrzastek K
BB/N006321/1,The value of enzymes in solar fuels research - efficient electrocatalysts through evolution.,2019,Evans RM
EP/V012053/1,Business Models for Active Buildings,2022,Elliott T
ST/W000830/1,WISDOM project XX. - Strong shear tearing molecular clouds apart in NGC 524,2024,Lu A
BB/F012071/1,How a fly photoreceptor samples light information in time.,2017,Juusola M
EP/P006485/1,Fluid flow and mixing in a novel intermittently rotating bioreactor for CAR-T cell therapy manufacturing,2023,Atanasova G
EP/R022534/1,Effect of nonionic and amphoteric surfactants on salivary pellicles reconstituted in vitro,2021,Boyd H
EP/G007578/1,Combining bacteriophage engineering and linear dichroism spectroscopy to produce a DNA hybridisation assay.,2020,Ali A
BB/V004220/1,Rationally seeded computational protein design of ?-helical barrels.,2024,Albanese KI
EP/R00661X/1,Room-Temperature Thermoelectric Performance of n-Type Multiphase Pseudobinary Bi2Te3-Bi2S3 Compounds: Synergic Effects of Phonon Scattering and Energy Filtering.,2023,Aminorroaya Yamini S
BB/N022181/1,Hidden Multivalency in Phosphatase Recruitment by a Disordered AKAP Scaffold.,2022,Watson M
EP/R032203/1,Rapid formation of intermetallic joint using Cu-Sn nanocomposite interlayer based on patterned copper nanowire array,2022,Jiang H
BB/J015415/1,RNA binding protein Caprin-2 is a pivotal regulator of the central osmotic defense response.,2015,Konopacka A
ST/T000988/1,Additional moments and -space approximations of four-loop splitting functions in QCD,2024,Moch S
AH/S002634/1,'There is No Icebreaker like a Tiny Child': Reuniting British Military Families in Cold War Germany,2022,Huxford G
MR/R004803/1,Associations between Blood Metabolic Profile at 7 Years Old and Eating Disorders in Adolescence: Findings from the Avon Longitudinal Study of Parents and Children.,2019,Santos Ferreira DL
EP/M009211/1,LN: A Flexible Algorithmic Framework for Layered Queueing Network Analysis,2024,Casale G
EP/W034093/1,Ionic release from bioactive SiO2-CaOCME/poly(tetrahydrofuran)/poly(caprolactone) hybrids drives human-bone marrow stromal cell osteogenic differentiation.,2025,Sory DR
ST/P000762/1,Gravitational-Wave Background Sky Maps from Advanced LIGO O1 Data.,2019,Renzini AI
MR/N015746/1,Uncovering the Genetic Architecture of Major Depression.,2019,McIntosh AM
EP/I031014/1,Perturbative approach to flat Chern bands in the Hofstadter model,2014,Harper F
NE/S004890/1,Uncertainty in aerosol radiative forcing impacts the simulated global monsoon in the 20th&nbsp;century,2020,Shonk J
NE/L01033X/1,Towards 'Creative Participatory Science': Exploring Future Scenarios Through Specialist Drought Science and Community Storytelling,2021,Liguori A
AH/I026243/1,Dialect contact and distinctiveness: The social meaning of language variation in an island community,2015,Moore E
EP/R043701/1,Electric Field Control of Spins in Molecular Magnets.,2019,Liu J
