award_id,title,authors,year,cleaned_title,extracted_date,date_format,match_status,match_ratio,search_method,matched_title,openalex_work_id,publication_title,publication_year,publication_date,doi,type,language,cited_by_count,is_retracted,metadata_source,authors_count,journal,issn,publisher,volume,issue,pages,oa_status,is_oa,oa_url,best_oa_landing_page_url,best_oa_pdf_url,best_oa_license,best_oa_version,has_any_target_funder,matched_target_funders,matched_target_funder_names,target_funder_match_count,has_target_funder,funding_info,funding_count,award_id_match,award_id_match_type,award_id_match_score,matched_grant_award_id,matched_grant_funder,topics,abstract,matched_authors,matched_authors_count,matched_authors_list,year_match,year_difference
BB/G022917/1,Thresholds of polarization vision in octopuses.,Shelby E. Temple; Martin J. How; Samuel B. Powell; Viktor Gruev; N. Justin Marshall; Nicholas W. Roberts,2021,thresholds of polarization vision in octopuses,,,matched,100,cleaned_title,Thresholds of polarization vision in octopuses,https://openalex.org/W3133084865,Thresholds of polarization vision in octopuses,2021,2021-02-18,https://doi.org/10.1242/jeb.240812,article,en,16,False,openalex,6,Journal of Experimental Biology,0022-0949,The Company of Biologists,,,,hybrid,True,https://journals.biologists.com/jeb/article-pdf/224/7/jeb240812/1832563/jeb240812.pdf,https://doi.org/10.1242/jeb.240812,https://journals.biologists.com/jeb/article-pdf/224/7/jeb240812/1832563/jeb240812.pdf,cc-by,publishedVersion,True,https://openalex.org/F4320334629,Biotechnology and Biological Sciences Research Council,1,True,Asian Office of Aerospace Research and Development: FA2386-12-1-4063; Royal Society: UF140558; Yulgilbar Foundation; Biotechnology and Biological Sciences Research Council: BB/G022917/1; Australian Research Council: FL140100197; Air Force Office of Scientific Research: FA8655-12-1-2112,6,True,exact,100,BB/G022917/1,Biotechnology and Biological Sciences Research Council,Cephalopods and Marine Biology; Neurobiology and Insect Physiology Research; Photoreceptor and optogenetics research,"Polarization vision is widespread in nature, mainly among invertebrates, and is used for a range of tasks including navigation, habitat localization and communication. In marine environments, some species such as those from the Crustacea and Cephalopoda that are principally monochromatic, have evolved to use this adaptation to discriminate objects across the whole visual field, an ability similar to our own use of colour vision. The performance of these polarization vision systems varies, and the few cephalopod species tested so far have notably acute thresholds of discrimination. However, most studies to date have used artificial sources of polarized light that produce levels of polarization much higher than found in nature. In this study, the ability of octopuses to detect polarization contrasts varying in angle of polarization (AoP) was investigated over a range of different degrees of linear polarization (DoLP) to better judge their visual ability in more ecologically relevant conditions. The 'just-noticeable-differences' (JND) of AoP contrasts varied consistently with DoLP. These JND thresholds could be largely explained by their 'polarization distance', a neurophysical model that effectively calculates the level of activity in opposing horizontally and vertically oriented polarization channels in the cephalopod visual system. Imaging polarimetry from the animals' natural environment was then used to illustrate the functional advantage that these polarization thresholds may confer in behaviourally relevant contexts.",False,0,,True,0
NE/V002554/2,The Roles of the Magnetopause and Plasmapause in Storm-Time ULF Wave Power Enhancements,J. K. Sandhu; I. J. Rae; Frances Staples; D. P. Hartley; Maria‐Theresia Walach; Tom Elsden; K. R. Murphy,2021,the roles of the magnetopause and plasmapause in storm time ulf wave power enhancements,,,matched,100,cleaned_title,The Roles of the Magnetopause and Plasmapause in Storm‐Time ULF Wave Power Enhancements,https://openalex.org/W3176874614,The Roles of the Magnetopause and Plasmapause in Storm‐Time ULF Wave Power Enhancements,2021,2021-06-29,https://doi.org/10.1029/2021ja029337,article,en,15,False,openalex,7,Journal of Geophysical Research Space Physics,2169-9380,Wiley,,,,hybrid,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2021JA029337,https://doi.org/10.1029/2021ja029337,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2021JA029337,cc-by,publishedVersion,True,https://openalex.org/F4320334632; https://openalex.org/F4320334631,Natural Environment Research Council; Science and Technology Facilities Council,2,True,"National Aeronautics and Space Administration: 18‐HGIO18 2‐ 0122; National Aeronautics and Space Administration: 18‐HSWO2R18‐0010; Leverhulme Trust: ECF‐2019‐155; Applied Physics Laboratory, Johns Hopkins University; Natural Environment Research Council: NE/P017185/2; Natural Environment Research Council: NE/V002554/2; Natural Environment Research Council: NE/T000937/1; Science and Technology Facilities Council: ST/V006320/1",8,True,exact,100,NE/V002554/2,Natural Environment Research Council,Ionosphere and magnetosphere dynamics; Solar and Space Plasma Dynamics; Earthquake Detection and Analysis,"Abstract Ultra low frequency (ULF) waves play a crucial role in transporting and coupling energy within the magnetosphere. During geomagnetic storms, dayside magnetospheric ULF wave power is highly variable with strong enhancements that are dominated by elevated solar wind driving. However, the radial distribution of ULF wave power is complex ‐ controlled interdependently by external solar wind driving and the internal magnetospheric structuring. We conducted a statistical analysis of observed storm‐time ULF wave power from the Van Allen Probes spacecraft within 2012–2016. Focusing on the dayside (06 &lt; magnetic local time ≤ 15), we observe large enhancements across 3 &lt; L &lt; 6 and a steep L dependence during the main phase. We consider how accounting for concurrent magnetopause and plasmapause locations may reduce statistical variability and improve parameterization of spatial trends over and above using the L value. Ordering storm time ULF wave power by L provides the weakest dependences from those considered, whereas ordering by distance from the magnetopause is more effective. We also explore dependences on local plasma density and find that spatially localized ULF wave power enhancements are confined within high density patches in the afternoon sector (likely plasmaspheric plumes). The results have critical implications for empirical models of ULF wave power and radial diffusion coefficients. We highlight the necessity of improved characterization of the highly distorted storm‐time cold plasma density distribution, in order to more accurately predict ULF wave power.",False,0,,True,0
NE/C004566/1,Structural Fe(II) Oxidation in Biotite by an Ectomycorrhizal Fungi Drives Mechanical Forcing.,Steeve Bonneville; Andrew W. Bray; Liane G. Benning,2016,structural fe ii oxidation in biotite by an ectomycorrhizal fungi drives mechanical forcing,,,matched,100,cleaned_title,Structural Fe(II) Oxidation in Biotite by an Ectomycorrhizal Fungi Drives Mechanical Forcing,https://openalex.org/W2218872612,Structural Fe(II) Oxidation in Biotite by an Ectomycorrhizal Fungi Drives Mechanical Forcing,2016,2016-04-29,https://doi.org/10.1021/acs.est.5b06178,article,en,65,False,openalex,3,Environmental Science & Technology,0013-936X,American Chemical Society,,,,hybrid,True,https://pubs.acs.org/doi/pdf/10.1021/acs.est.5b06178,https://doi.org/10.1021/acs.est.5b06178,https://pubs.acs.org/doi/pdf/10.1021/acs.est.5b06178,cc-by,publishedVersion,True,https://openalex.org/F4320334631,Natural Environment Research Council,1,True,Fonds De La Recherche Scientifique - FNRS: PDR T.1012.14; Natural Environment Research Council: NE/C004566/1; Natural Environment Research Council: NE/J022365/1,3,True,exact,100,NE/C004566/1,Natural Environment Research Council,Geochemistry and Elemental Analysis; Geological and Geochemical Analysis; Clay minerals and soil interactions,"Microorganisms are essential agents of Earth's soil weathering engine who help transform primary rock-forming minerals into soils. Mycorrhizal fungi, with their vast filamentous networks in symbiosis with the roots of most plants can alter a large number of minerals via local acidification, targeted excretion of ligands, submicron-scale biomechanical forcing, and mobilization of Mg, Fe, Al, and K at the hypha-biotite interface. Here, we present experimental evidence that Paxillus involutus–a basidiomycete fungus—in ectomycorrhizal symbiosis with Scots pine (Pinus sylvestris), is able to oxidize a substantial amount of structural Fe(II) in biotite. Iron redox chemistry, quantified by X-ray absorption near edge spectra on 13 fungi–biotite sections along three distinct hypha colonizing the [001] basal plane of biotite, revealed variable but extensive Fe(II) oxidation up to ∼2 μm in depth and a Fe(III)/Fetotal ratio of up to ∼0.8. The growth of Fe(III) hydroxide implies a volumetric change and a strain within the biotite lattice potentially large enough to induce microcrack formation, which are abundant below the hypha–biotite interface. This Fe(II) oxidation also leads to the formation of a large pool of Fe(III) (i.e., structural Fe(III) and Fe(III) oxyhydroxides) within biotite that could participate in the Fe redox cycling in soils.",False,0,,True,0
NE/P003079/1,Threat management priorities for conserving Antarctic biodiversity.,Jasmine Lee; Aleks Terauds; Josie Carwardine; Justine D. Shaw; Richard A. Fuller; Hugh P. Possingham; Steven L. Chown; Peter Convey; Neil Gilbert; Kevin A. Hughes; Ewan McIvor; Sharon A. Robinson; Yan Ropert‐Coudert; Dana M. Bergstrom; Elisabeth M. Biersma; Claire Christian; Don A. Cowan; Yves Frénot; Stéphanie Jenouvrier; Lisa Skemp Kelley; Michael J. Lee; Heather J. Lynch; Birgit Njåstad; Antonio Quesada; R.M. Roura; E. Ashley Shaw; Damon Stanwell‐Smith; Megumu Tsujimoto; Diana H. Wall; Annick Wilmotte; Iadine Chadès,2022,threat management priorities for conserving antarctic biodiversity,,,matched,100,cleaned_title,Threat management priorities for conserving Antarctic biodiversity,https://openalex.org/W4311958017,Threat management priorities for conserving Antarctic biodiversity,2022,2022-12-22,https://doi.org/10.1371/journal.pbio.3001921,article,en,29,False,openalex,31,PLoS Biology,1544-9173,Public Library of Science,,,,gold,True,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001921&type=printable,https://doi.org/10.1371/journal.pbio.3001921,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001921&type=printable,cc-by,publishedVersion,True,https://openalex.org/F4320306076; https://openalex.org/F4320334631,Natural Environment Research Council; National Science Foundation,2,True,National Science Foundation: OPP 1744794; Holsworth Wildlife Research Endowment; Royal Commission for the Exhibition of 1851; Scientific Committee on Antarctic Research; Fonds De La Recherche Scientifique - FNRS: CDR J.0152.18; Belgian Federal Science Policy Office: BR/165/A1/MICROBIAN; Carlsbergfondet: CF18-0267; Natural Environment Research Council: NE/P003079/1; Agencia Estatal de Investigación: CTM2016-79741-R; British Antarctic Survey,10,True,exact,100,NE/P003079/1,Natural Environment Research Council,Polar Research and Ecology; Species Distribution and Climate Change; Microbial Community Ecology and Physiology,"Antarctic terrestrial biodiversity faces multiple threats, from invasive species to climate change. Yet no large-scale assessments of threat management strategies exist. Applying a structured participatory approach, we demonstrate that existing conservation efforts are insufficient in a changing world, estimating that 65% (at best 37%, at worst 97%) of native terrestrial taxa and land-associated seabirds are likely to decline by 2100 under current trajectories. Emperor penguins are identified as the most vulnerable taxon, followed by other seabirds and dry soil nematodes. We find that implementing 10 key threat management strategies in parallel, at an estimated present-day equivalent annual cost of US$23 million, could benefit up to 84% of Antarctic taxa. Climate change is identified as the most pervasive threat to Antarctic biodiversity and influencing global policy to effectively limit climate change is the most beneficial conservation strategy. However, minimising impacts of human activities and improved planning and management of new infrastructure projects are cost-effective and will help to minimise regional threats. Simultaneous global and regional efforts are critical to secure Antarctic biodiversity for future generations.",False,0,,True,0
EP/P033148/1,Experimental Measurement of Large-Amplitude Intermittent Vibrations of an Inclined Bendable Riser Transporting Unsteady Multiphase Flows,Bowen Ma; Narakorn Srinil; Hongjun Zhu; Yue Gao,2021,experimental measurement of large amplitude intermittent vibrations of an inclined bendable riser transporting unsteady multiphase flows,,,matched,100,cleaned_title,Experimental Measurement of Large-Amplitude Intermittent Vibrations of an Inclined Bendable Riser Transporting Unsteady Multiphase Flows,https://openalex.org/W3174822893,Experimental Measurement of Large-Amplitude Intermittent Vibrations of an Inclined Bendable Riser Transporting Unsteady Multiphase Flows,2021,2021-06-22,https://doi.org/10.1016/j.apor.2021.102731,article,en,12,False,openalex,4,Applied Ocean Research,0141-1187,Elsevier BV,,,,green,True,https://eprints.ncl.ac.uk/file_store/production/275209/CFEC7338-46CB-4F1B-86FC-6E161062EC7D.pdf,https://eprints.ncl.ac.uk/275209,https://eprints.ncl.ac.uk/file_store/production/275209/CFEC7338-46CB-4F1B-86FC-6E161062EC7D.pdf,cc-by-nc-nd,submittedVersion,True,https://openalex.org/F4320314731; https://openalex.org/F4320334627,UK Research and Innovation; Engineering and Physical Sciences Research Council,2,True,UK Research and Innovation; Newcastle University; National Natural Science Foundation of China: 51979238; Engineering and Physical Sciences Research Council: EP/P033148/1,4,True,exact,100,EP/P033148/1,Engineering and Physical Sciences Research Council,Fluid Dynamics and Mixing; Fluid Dynamics and Vibration Analysis; Fluid Dynamics and Heat Transfer,,False,0,,True,0
EP/K024566/1,A new discrete monotonicity formula with application to a two-phase free boundary problem in dimension two,Serena Dipierro; Aram Karakhanyan,2019,a new discrete monotonicity formula with application to a two phase free boundary problem in dimension two,,,matched,100,cleaned_title,A new discrete monotonicity formula with application to a two-phase free boundary problem in dimension two,https://openalex.org/W2962773161,A new discrete monotonicity formula with application to a two-phase free boundary problem in dimension two,2018,2018-07-03,https://doi.org/10.1080/03605302.2018.1499776,article,en,7,False,openalex,2,Communications in Partial Differential Equations,0360-5302,Taylor & Francis,,,,hybrid,True,https://www.tandfonline.com/doi/pdf/10.1080/03605302.2018.1499776?needAccess=true,https://doi.org/10.1080/03605302.2018.1499776,https://www.tandfonline.com/doi/pdf/10.1080/03605302.2018.1499776?needAccess=true,cc-by-nc-nd,publishedVersion,True,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,1,True,Engineering and Physical Sciences Research Council: EP/K024566/1,1,True,exact,100,EP/K024566/1,Engineering and Physical Sciences Research Council,Nonlinear Partial Differential Equations; Advanced Mathematical Modeling in Engineering; Spectral Theory in Mathematical Physics,"We continue the analysis of the two-phase free boundary problems initiated by ourselves, studying where we studied the linear growth of minimizers in a Bernoulli-type free boundary problem at the non-flat points and the related regularity of free boundary. There, among other things, we also defined the functional φp(r,u,x0)=1r4∫Br(x0)|∇u+(x)|p|x−x0|N−2dx∫Br(x0)|∇u−(x)|p|x−x0|N−2dx, where x0 is a free boundary point, i.e. x0∈∂{u>0} and u is a minimizer of the functional J(u):=∫Ω|∇u|p+λ+p χ{u>0}+λ−p χ{u≤0}, for some bounded smooth domain Ω⊂RN and positive constants λ± with Λ:=λ+p−λ−p>0. Here we show φp(r,u,x0) in discrete monotone at non-flat points x0, when N = 2 and p is sufficiently close to 2, and then establish the linear growth of u. A new feature of our approach is the anisotropic scaling argument discussed in Section 4.",False,0,,True,1
EP/T01346X/1,Beyond blur real-time ventral metamers for foveated rendering,Walton D,2021,beyond blur real time ventral metamers for foveated rendering,,,no_match,0,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP/R022518/1,Synthesis and characterisation of Ga- and In-doped CdS by solventless thermolysis of single source precursors.,Suliman A. Alderhami; Ruben Ahumada‐Lazo; Mark A. Buckingham; David J. Binks; Paul O’Brien; David Collison; David J. Lewis,2023,synthesis and characterisation of ga and in doped cds by solventless thermolysis of single source precursors,,,matched,100,cleaned_title,Synthesis and characterisation of Ga- and In-doped CdS by solventless thermolysis of single source precursors,https://openalex.org/W4319083249,Synthesis and characterisation of Ga- and In-doped CdS by solventless thermolysis of single source precursors,2023,2023-01-01,https://doi.org/10.1039/d3dt00239j,article,en,8,False,openalex,7,Dalton Transactions,1477-9226,Royal Society of Chemistry,,,,hybrid,True,https://pubs.rsc.org/en/content/articlepdf/2023/dt/d3dt00239j,https://doi.org/10.1039/d3dt00239j,https://pubs.rsc.org/en/content/articlepdf/2023/dt/d3dt00239j,cc-by,publishedVersion,True,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,1,True,Engineering and Physical Sciences Research Council: EP/R022518/1,1,True,exact,100,EP/R022518/1,Engineering and Physical Sciences Research Council,Quantum Dots Synthesis And Properties; Chalcogenide Semiconductor Thin Films; Molecular Junctions and Nanostructures,"We report a facile and low temperature synthesis of Ga- and In-doped CdS nanoparticles from molecular precursors. Diethyldithiocarbamate complexes of Cd(II), Ga(III), and In(III), were synthesised and decomposed in tandem through solventless thermolysis, producing Ga- or In-doped CdS. The resultant MxCd1-xS1+0.5x (where M = Ga/In at x values of 0, 0.02, 0.04, 0.06, 0.08 and 0.1) particulate powder was analysed by powder X-ray diffraction, which showed that both Ga (through all doping levels) and In (at doping levels <8 mol%) were successfully incorporated into the hexagonal CdS lattice without any impurities. Raman spectroscopy also showed no significant change from CdS. Scanning electron microscopy and energy dispersive X-ray spectroscopy were used to investigate the morphology and elemental dispersion through the doped CdS materials, showing homogenous incorporation of dopant. The optical and luminescent properties of the doped MxCd1-xS1+0.5x materials were examined by UV-Vis absorption and photoluminescence spectroscopies respectively. All materials were found to exhibit excitonic emission, corresponding to band gap energies between 2.7 and 2.9 eV and surface defect induced emission which is more prominent for Ga than for In doping. Additionally, moderate doping slows down charge carrier recombination by increasing the lifetimes of excitonic and surface state emissions, but particularly for the latter process.",False,0,,True,0
ST/R000395/1,Revisiting the common envelope evolution in binary stars: A new semianalytic model for N -body and population synthesis codes,Trani A,2022,revisiting the common envelope evolution in binary stars,,,no_match,0,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR/M025233/1,Generation of a chemical genetic model for JAK3.,Judit Reményi; Rangeetha J. Naik; Jinhua Wang; M Razsolkov; Alyssa L. Verano; Quan-Ying Cai; Li Tan; Rachel Toth; Samantha Raggett; Carla Baillie; Ryan Traynor; C. James Hastie; Nathanael S. Gray; J. Simon C. Arthur,2021,generation of a chemical genetic model for jak3,,,matched,100,cleaned_title,Generation of a chemical genetic model for JAK3,https://openalex.org/W3163473861,Generation of a chemical genetic model for JAK3,2021,2021-05-12,https://doi.org/10.1038/s41598-021-89356-4,article,en,7,False,openalex,14,Scientific Reports,2045-2322,Nature Portfolio,,,,gold,True,https://www.nature.com/articles/s41598-021-89356-4.pdf,https://doi.org/10.1038/s41598-021-89356-4,https://www.nature.com/articles/s41598-021-89356-4.pdf,cc-by,publishedVersion,True,https://openalex.org/F4320334626,Medical Research Council,1,True,Medical Research Council: MR/M025233/1,1,True,exact,100,MR/M025233/1,Medical Research Council,Cytokine Signaling Pathways and Interactions; Myeloproliferative Neoplasms: Diagnosis and Treatment; interferon and immune responses,"Abstract Janus Kinases (JAKs) have emerged as an important drug target for the treatment of a number of immune disorders due to the central role that they play in cytokine signalling. 4 isoforms of JAKs exist in mammalian cells and the ideal isoform profile of a JAK inhibitor has been the subject of much debate. JAK3 has been proposed as an ideal target due to its expression being largely restricted to the immune system and its requirement for signalling by cytokine receptors using the common γ-chain. Unlike other JAKs, JAK3 possesses a cysteine in its ATP binding pocket and this has allowed the design of isoform selective covalent JAK3 inhibitors targeting this residue. We report here that mutating this cysteine to serine does not prevent JAK3 catalytic activity but does greatly increase the IC50 for covalent JAK3 inhibitors. Mice with a Cys905Ser knockin mutation in the endogenous JAK3 gene are viable and show no apparent welfare issues. Cells from these mice show normal STAT phosphorylation in response to JAK3 dependent cytokines but are resistant to the effects of covalent JAK3 inhibitors. These mice therefore provide a chemical-genetic model to study JAK3 function.",False,0,,True,0
